顧客名簿,,,,,,
,,,,,,
得意先ｺｰﾄﾞ,得意先名称１,郵便番号,住所１,住所２,住所３,電話番号
1,㈱井助商店,600-8066,京都府京都市下京区,柳馬場通五条上る柏屋町344,,075-361-5281
2,㈱アタゴ 丸岡工場*閉,910-0362,福井県坂井市,丸岡町上安田7-12,,0776-67-3140
3,㈱アパレルマシンサービス,915-0052,福井県越前市,矢放町13-12-7,,0778-24-1901
4,㈱アタゴ 本社,918-8005,福井県福井市,みのり4-13-1,,0776-35-3170
6,恵美須薬品化工㈱,540-0037,大阪府大阪市中央区,内平野町3-3-2,,06-6942-0055
7,㈱エフアールスクリーン,916-0084,福井県鯖江市,小泉町31-2-2,,0778-62-1106
8,㈱トーヨー特機 三重営業所,518-0822,三重県伊賀市,問屋町72,,0595-21-5659
9,㈲雨宮商会,920-0341,石川県金沢市,寺中町ﾁ-15-3,,076-268-1181
10,家坂商事㈱,940-0052,新潟県長岡市,神田町3-5-6,,0258-32-1411
11,井上プリーツ㈱,919-0503,福井県坂井市,坂井町長屋71,,0776-66-8282
12,㈱オークラ商事,101-0041,東京都千代田区,神田須田町2-5,ﾔﾏﾓﾄﾋﾞﾙ 4F,03-3252-1751
13,アズウェイ㈱ S&P Division,101-0041,東京都千代田区,神田須田町1-18-6,谷ﾋﾞﾙ 1F,03-5295-1800
14,イシカワ,918-8025,福井県福井市,江守中町1-17,,0776-35-1824
15,榎本産業㈱,640-8425,和歌山県和歌山市,松江北3-2-16,,073-452-8687
17,㈱浅田 本社,236-0003,神奈川県横浜市金沢区,幸浦2-15-10,,045-791-7191
18,㈱イトウ,114-0002,東京都北区,王子2-2-7,,03-3919-3085
20,アワサカ,212-0006,神奈川県川崎市幸区,遠藤町37,,044-544-1262
22,井上クリーニング,916-0051,福井県鯖江市,屋形町1-23,,0778-51-0713
23,岩本ブライダルハウス,910-0016,福井県福井市,大宮3-25-10,,0776-22-8458
24,エフアイニット㈱,939-1118,富山県高岡市,戸出栄町52-5,,0766-63-3065
25,AIT産業,491-0352,愛知県一宮市,萩原町富田方字西の川59,,0586-68-0485
26,㈱Ａｙｌｉｎａ 本社,861-2107,熊本県熊本市東区,秋津新町1-34,ｱﾑｰﾙPOWER.BLD1階,096-331-3330
28,㈲クリーンマスター有賀,918-8075,福井県福井市,羽坂町17-1-7,,0776-37-1855
29,㈱東京丁子,171-0021,東京都豊島区,西池袋1-1-25,東武百貨店池袋店 4F縫製室,03-5951-8010
30,㈱浅田 甲府営業所*閉,400-0049,山梨県甲府市,富竹3-3-7,,055-228-7035
31,石田ランドリー,828-0021,福岡県豊前市,八屋2534-18,,0979-83-2421
32,㈱石澤製作所,990-0301,山形県東村山郡山辺町,山辺2941,,0236-65-7389
33,㈱アルヴァ*禁1311,679-0211,兵庫県加東市,上滝野575,,0795-48-9311
35,㈱三京石田商会,481-0043,愛知県北名古屋市,沖村西ノ郷194,,0568-21-2893
36,アズマ㈱ 本社,111-0056,東京都台東区,小島2-1-1,,03-3865-4861
37,㈱市川,254-0043,神奈川県平塚市,紅谷町14-6,,0463-23-2205
38,㈱エムビーエス,850-0851,長崎県長崎市,古川町6-28,,095-821-5178
39,エンブレム㈱,376-0006,群馬県桐生市,新宿3-7-34,,0277-47-3397
40,いのうえ㈱,653-0024,兵庫県神戸市長田区,浜添通3-3-3,,078-681-0863
41,㈲瀬戸衣裳,973-8402,福島県いわき市,内郷御厩町久世原227,,0246-26-2009
42,㈱ウェディングボックス,860-0803,熊本県熊本市中央区,新市街4-4,ｳｴﾃﾞｨﾝｸﾞﾋﾞﾙ,096-324-5001
43,㈱秋山クリーニング,939-0643,富山県下新川郡入善町,青木1464,,0765-74-1818
44,㈱新木屋,462-0844,愛知県名古屋市北区,清水2-2-7,,052-931-2808
45,ジュンブライダル,611-0025,京都府宇治市,神明石塚1,WING 3F,0774-24-8990
47,大阪ガーデンパレス,532-0004,大阪府大阪市淀川区,西宮原1-3-35,,06-6396-6211
49,㈱エンパイアー東京,174-0051,東京都板橋区,小豆沢1-14-18,,03-3969-5451
52,㈲藤省,111-0043,東京都台東区,駒形1-1-4,ｳｨｽﾀﾘｱﾊｳｽ 303,03-3845-0558
53,三井クリーニング,561-0841,大阪府豊中市,名神口1-7-20,,06-6867-6400
54,㈱不入流,780-8075,高知県高知市,朝倉南町4-18-5,,088-843-6979
55,猪村工業㈱,451-0061,愛知県名古屋市西区,浄心1-8-25,,052-522-2321
57,株式会社　ＯＷＬ　イッツ　　ｵﾘ,212-0004,神奈川県川崎市幸区,小向西町4-25,,044-555-9051
58,㈱大橋製作所,459-8001,愛知県名古屋市緑区,大高町字己新田24-6,,052-624-4745
