商品ｺｰﾄﾞ,商品名,商品名索引,単位,上代単価
100001,EX－20LS(220V),20LS,台,0
100002,BL-10,BL-10,台,45000
100003,BL-10　ﾊﾞｲﾄﾝ仕様,BL-10,台,45000
100004,BL-10(220V),BL-10,台,0
100005,BL-20,BL-20,台,52000
100006,BL-20　ﾛﾝｸﾞﾉｽﾞﾙ付,BL-20,台,0
100007,BL-20(ﾃﾌﾛﾝﾎｰｽ仕様),BL-20,台,0
100008,BL-20　ﾊﾞｲﾄﾝ仕様,BL-20,台,0
100009,BL-20(220V),BL-20,台,0
100010,BL-20(220V.ﾊﾞｲﾄﾝ仕様),BL-20,台,0
100011,BL-20 酢酸ｱﾐｰﾙ対応(FCﾁｭｰﾌﾞ),BL-20,台,0
100012,BL-20(110V),BL-20,台,0
100013,BL-20 広角ﾉｽﾞﾙ付,BL-20,台,0
100014,BL-30,BL-30,台,0
100015,K.I-10B,KI10B,台,0
100016,K.I-10B.C 変更ﾉｽﾞﾙ付,KI10BC,台,42000
100017,K.I-10LS,KI10LS,台,0
100018,K.I-10LS　変更ﾉｽﾞﾙ付,KI10LS,台,45000
100019,K.I-10LS変更ﾉｽﾞﾙ仕様.容器付,KI10LS,台,0
100020,KI30B ﾊﾞｲﾄﾝ仕様:直ﾉｽﾞﾙ付,KI30B,台,0
100021,K.I-30B,KI30B,台,0
100022,K.I-30B 変更ﾉｽﾞﾙ付(強力型),KI30B,台,0
100023,K.I-30B　直ﾉｽﾞﾙ付,KI30B,台,0
100024,K.I-30B　変更ﾉｽﾞﾙ付,KI30B,台,0
100025,K.I-30B(220V),KI30B,台,0
100026,K.I-30LS,KI30LS,台,0
100027,KI30LS*5L容器付,KI30LS,式,0
100028,K.I-30LS 変更ﾉｽﾞﾙ付,KI30LS,台,52000
100029,K.I-30LS ﾛﾝｸﾞﾉｽﾞﾙﾂｷ,KI30LS,台,0
100030,KI30-LS　直ﾉｽﾞﾙ付,KI30LS,台,0
100031,KI30-LS･直ﾉｽﾞﾙ･ﾌｯﾄｽｲｯﾁ仕様.ﾀﾝｸ付,KI30LS,台,35000
100032,KI30-LS.直ﾉｽﾞﾙ仕様.ﾀﾝｸ付,KI30LS,台,45000
100033,KI30-LS(強力型),KI30LS,台,0
100034,KI30-LS強力型(ﾊﾞｲﾄﾝ仕様ﾄﾞﾚﾝﾎﾞﾄﾙ付),KI30LS,台,0
100035,KI30-LS強力型(ﾄﾞﾚﾝﾎﾞﾄﾙ変更ﾉｽﾞﾙ付),KI30LS,台,0
100036,KI30-LS(ﾊﾞｲﾄﾝ仕様.ﾄﾞﾚﾝﾎﾞﾄﾙ付),KI30LS,台,0
100037,EX　LS-10,LS-10,台,0
100038,EX　LS-10(220V).水用容器付,LS-10,台,0
100039,EX　LS-10(220V.ﾊﾞｲﾄﾝ仕様),LS-10,台,0
100040,EX LS-20ﾄﾞﾚﾝﾎﾞﾄﾙ付(ﾃﾌﾛﾝﾎｰｽ仕様),LS-20,台,0
100041,LS-20(ｽｲｯﾁ.ｽﾄｯﾌﾟﾊﾞﾙﾌﾞﾅｼ電磁仕様)220V,LS-20,台,0
100042,EX LS-20(缶ｷｬｯﾌﾟﾎｰｽ.ｼｮｯｸ止ﾊﾞｲﾄﾝ)220V,LS-20,台,0
100043,EX　LS-20,LS-20,台,0
100044,LSV-10.容器付,LSV-10,台,0
100045,LSV-10(透明ﾊﾞｲﾄﾝ仕様),LSV-10,台,0
100046,LSV-10,LSV-10,台,58000
100047,LSV-10(220V),LSV-10,台,56000
100048,LSV-10(200V),LSV-10,台,0
100049,LSV-10 ﾊﾞｲﾄﾝ仕様,LSV-10,台,0
100050,LSV-10　ﾄﾞﾚﾝﾎｰｽ仕様,LSV-10,台,56000
100051,LSV-20･ﾄﾞﾚﾝﾎｰｽ仕様　220V,LSV-20,台,0
100052,LSV-20(ﾄﾞﾚﾝﾎﾞﾄﾙ仕様.缶ｷｬｯﾌﾟﾎｰｽ無),LSV-20,台,0
100053,LSV-20,LSV-20,台,64000
100054,LSV-20.容器付,LSV-20,台,65000
100055,LSV-20 ﾊﾞｲﾄﾝﾎｰｽ仕様,LSV-20,台,0
100056,LSV-20　広角ﾉｽﾞﾙ付,LSV-20,台,0
100057,LSV-20.ﾄﾞﾚﾝ仕様･容器付,LSV-20,台,0
100058,LSV-20 (220V),LSV-20,台,0
100059,LSV-20(110V),LSV-20,台,0
100060,LSV-20(電磁弁付.ﾌｯﾄｽｲｯﾁ仕様),LSV-20,台,0
100061,LSV-20(220V)黒ﾊﾞｲﾄﾝ仕様,LSV-20,台,65000
100062,LSV-20(ｽﾄｯﾌﾟﾊﾞﾙﾌﾞﾅｼ.E.Pﾎ-ｽ仕様),LSV-20,台,0
100063,LSV-20(青),LSV-20,台,64000
100064,LSV-20 ﾊﾞｲﾄﾝ･ﾄﾞﾚﾝﾎ-ｽ仕様,LSV-20,台,0
100065,LSVｰ20(電磁弁式.ﾄﾞﾗｲﾔｰ連動式),LSV-20,台,0
100066,LSV-20 ﾎﾟﾘｷｬｯﾌﾟ仕様･ﾀﾝｸﾅｼ,LSV-20,台,64000
100067,LSV-20ﾄﾞﾚﾝﾎｰｽ仕様,LSV-20,台,0
100068,LSV-20ﾄﾞﾚﾝﾎｰｽ.缶ｷｬｯﾌﾟﾎｰｽﾅｼ　AIT仕様,LSV-20,台,0
100069,LSV-20･ﾊﾞｲﾄﾝ.ﾎｰｽﾊﾞﾝﾄﾞ付仕様,LSVｰ20,台,0
100070,VH-10(120V) 溶剤用,VH-10,台,0
100071,VH-10 水用　容器付,VH-10,台,59000
100072,VH-10 溶剤用,VH-10,台,58000
100073,VHｰ10.溶剤用 ﾊﾞｲﾄﾝ仕様,VH-10,台,60000
100074,VH-20 水用(200V),VH-20,台,0
100075,VH-20水用.ﾊﾞｲﾄﾝ仕様:容器付,VH-20,台,0
100076,VH-20水用,VH-20,台,68000
100077,VH-20溶剤用.缶ｷｬｯﾌﾟ付,VH-20,台,67000
100078,VH-20水用.広角ﾉｽﾞﾙ付,VH-20,台,67000
100079,VH-20溶剤用.広角ﾉｽﾞﾙ付,VH-20,台,0
100080,VH-20溶剤用 ﾊﾞｲﾄﾝﾎｰｽ仕様,VH-20,台,0
